order,version,name
1,"20260624075758","document_catalog_tables_comments"
2,"20260624075811","create_catalog_business_views"
3,"20260624091225","safety_snapshot_before_cleanup"
4,"20260624091713","phase1a_retire_users_old_rebuild_views"
5,"20260624091749","phase1b_consolidate_inventory_ledger"
6,"20260624091807","phase1c_consolidate_promotions"
7,"20260624092645","phase2_suppliers_and_sourcing"
8,"20260624092658","phase2_pickup_and_delivery_zones"
9,"20260624095818","phase2_daily_menu_system"
10,"20260624100203","phase3_document_remaining_tables"
11,"20260624100225","phase3_view_naming_and_sourcing_view"
12,"20260624193445","phase4a_rls_public_read_tables"
13,"20260624193455","phase4b_rls_staff_only_tables"
14,"20260624194002","phase4c_views_security_invoker"
15,"20260624200147","gaps_notifications_log"
16,"20260624200203","gaps_refunds_cancellations_wallet"
17,"20260624200223","gaps_substitutions_proof_reviews_history"
18,"20260624200639","phase4d_lock_down_privileged_functions"
19,"20260624201120","harden_function_search_paths"
20,"20260624201138","drop_unused_order_status_transitions"
21,"20260624213224","extend_and_seed_product_categories"
22,"20260625045648","add_others_category_live"
23,"20260630064435","create_waitlist_table"
24,"20260630071327","create_markets_table"
25,"20260630094125","add_market_id_to_operational_tables"
26,"20260630094224","add_currency_code_to_money_tables"
27,"20260630094334","create_product_markets_table"
28,"20260630100519","add_waitlist_consent_utm_fields"
29,"20260630152127","harden_default_market_id_search_path"
30,"20260630163739","atomic_paystack_payment_and_stock"
31,"20260701220034","add_zone_geometry_and_resolver"
32,"20260701225820","radius_delivery_zone_core"
33,"20260701230711","delivery_partners_and_quotes"
34,"20260702120000","dispatch_ready_addresses"
35,"20260705143244","product_images_gallery_constraints"
36,"20260709103000","add_orders_packaging_fee"
37,"20260712120000","product_variant_purchase_modes"
38,"20260714120000","volatile_product_price_history"
39,"20260715090414","product_card_catalog_view"
40,"20260715142303","order_idempotency_keys"
41,"20260718133409","decimal_safe_paystack_stock_finalization"
42,"20260719173638","meal05_balance_foundation"
43,"20260720183459","classify_product_variant_option_roles"
44,"20260720193421","add_product_brand_and_family"
45,"20260722083209","prepare_delivery_management_phase1"
46,"20260722083332","delivery_route_creation_rpc"
47,"20260722083458","delivery_phase1_advisor_indexes"
48,"20260722150000","product_image_variants"
49,"20260728151918","payment_provider_settings"
50,"20260728175222","repair_stock_and_phase1_payments"
51,"20260729120000","site_notifications"
52,"20260730111500","activate_opay_transfer_when_configured"
53,"20260731174338","add_variant_local_measurement_and_simba_rice"
54,"20260731174505","list_simba_rice_in_default_market"
55,"20260731174746","add_variant_size_label_with_local_equivalent"
56,"20260731175758","model_portioned_bulk_products"
57,"20260731180239","correct_simba_rice_source_pack_to_50kg"
58,"20260731183016","set_simba_rice_fixed_options"
59,"20260731183900","set_big_bull_rice_fixed_options"
60,"20260731190518","split_royal_stallion_long_and_short_grain"
61,"20260731192811","split_red_bell_pepper_tatase_by_grade"
62,"20260731194004","split_cayenne_pepper_sombo_by_grade"
63,"20260731194722","split_coconut_by_size_fixed_options"
64,"20260801073851","add_bulk_soup_spice_leaf_and_unripe_papaya_options"
65,"20260801074512","add_fixed_options_batch_egusi_garlic_garri_groundnut_yam_peppers"
66,"20260801074757","add_mumuyi_medium_fixed_options"
67,"20260801075240","add_protein_seafood_fixed_options_batch"
68,"20260801075834","add_leaf_vegetables_old_layer_and_smoked_catfish_big"
69,"20260801080424","update_fish_eggs_cabbage_pepper_shoko_batch"
70,"20260801081116","add_tilapia_tigernuts_pelebe_ponmo_prawn_bonga_turkey_wings_croaker_options_v2"
71,"20260801081649","set_turkey_gizzard_pack_option"
72,"20260801082119","update_fruits_garri_yam_flour_sweet_potato_batch_v2"
73,"20260801101233","canonical_authenticated_cart"
